symbol,date,buy_price,sell_price,actual_return,predicted_return
002858.SZ,2023-10-16,15.7,14.49,-7.707006369426746,5.691029071807861
002905.SZ,2023-10-17,9.14,9.03,-1.2035010940919169,9.968229293823242
002858.SZ,2023-10-17,15.6,15.26,-2.179487179487179,6.25700044631958
301299.SZ,2023-10-17,61.9,60.07,-2.956381260096928,5.571992874145508
600540.SH,2023-10-17,5.78,5.24,-9.342560553633218,5.167489528656006
600272.SH,2023-10-17,12.25,11.78,-3.836734693877556,5.131856441497803
301299.SZ,2023-10-18,60.09,60.95,1.4311865535030777,7.059366226196289
301205.SZ,2023-10-18,78.77,68.95,-12.466675130125674,6.882043361663818
301368.SZ,2023-10-18,36.7,36.48,-0.5994550408719508,6.115875244140625
002905.SZ,2023-10-18,8.99,9.13,1.5572858731924424,5.779489994049072
600272.SH,2023-10-18,11.83,11.98,1.2679628064243478,5.595543384552002
301191.SZ,2023-10-19,112.33,106.4,-5.279088400249259,9.451177597045898
301205.SZ,2023-10-19,77.8,69.95,-10.089974293059118,6.898043155670166
301368.SZ,2023-10-19,36.94,36.44,-1.353546291283162,6.531585216522217
301013.SZ,2023-10-19,15.15,15.74,3.894389438943893,6.342144966125488
002693.SZ,2023-10-19,7.12,6.85,-3.7921348314606806,5.884907245635986
301191.SZ,2023-10-20,108.24,101.25,-6.457871396895783,17.079397201538086
000004.SZ,2023-10-20,16.13,16.64,3.1618102913825266,9.192992210388184
601858.SH,2023-10-20,24.43,25.14,2.9062627916496147,8.396143913269043
301139.SZ,2023-10-20,29.93,33.9,13.264283327764781,8.264720916748047
301205.SZ,2023-10-20,73.95,69.8,-5.6118999323867556,8.255282402038574
301191.SZ,2023-10-23,104.3,107.08,2.6653883029721968,18.79393768310547
601858.SH,2023-10-23,23.25,26.3,13.118279569892477,11.872191429138184
301208.SZ,2023-10-23,36.46,40.38,10.751508502468463,11.106889724731445
301299.SZ,2023-10-23,57.22,60.38,5.522544564837476,10.828898429870605
000004.SZ,2023-10-23,16.31,16.98,4.107909258123861,9.357277870178223
301191.SZ,2023-10-24,105.5,102.18,-3.1469194312796143,16.854522705078125
002368.SZ,2023-10-24,26.73,28.64,7.145529367751591,10.648884773254395
603659.SH,2023-10-24,24.75,25.0,1.0101010101010102,9.098114967346191
301380.SZ,2023-10-24,45.55,46.18,1.3830954994511584,8.176393508911133
301221.SZ,2023-10-24,55.05,60.77,10.390554041780211,7.9967474937438965
301191.SZ,2023-10-25,109.0,94.0,-13.761467889908257,10.949278831481934
603659.SH,2023-10-25,24.35,24.79,1.8069815195071774,9.511527061462402
000032.SZ,2023-10-25,19.66,18.85,-4.120040691759912,8.199631690979004
301030.SZ,2023-10-25,36.53,36.9,1.0128661374212906,7.893208980560303
002368.SZ,2023-10-25,27.52,28.61,3.960755813953488,7.889170169830322
603659.SH,2023-10-26,24.26,24.42,0.6595218466611712,8.427348136901855
301153.SZ,2023-10-26,57.82,58.38,0.9685230024213114,4.697822570800781
603127.SH,2023-10-26,22.5,26.22,16.533333333333328,4.596588611602783
603496.SH,2023-10-26,33.08,27.11,-18.047158403869403,4.4442458152771
002456.SZ,2023-10-26,9.77,9.86,0.921187308085976,4.392585754394531
603496.SH,2023-10-27,31.68,26.91,-15.05681818181818,5.788424015045166
301153.SZ,2023-10-27,55.81,59.95,7.418025443468913,4.097553730010986
603211.SH,2023-10-27,15.99,15.66,-2.063789868667918,4.057624816894531
002038.SZ,2023-10-27,11.93,11.21,-6.035205364626981,3.3648462295532227
301191.SZ,2023-10-27,101.25,90.32,-10.795061728395067,2.9415128231048584
603211.SH,2023-10-30,15.89,16.53,4.02769037130271,5.098601341247559
002038.SZ,2023-10-30,12.05,11.45,-4.979253112033207,4.546374797821045
603496.SH,2023-10-30,33.23,28.18,-15.197111044237127,4.4966816902160645
603118.SH,2023-10-30,9.5,9.15,-3.684210526315786,4.378610610961914
301183.SZ,2023-10-30,45.3,45.78,1.0596026490066313,2.898916721343994
002038.SZ,2023-10-31,11.7,11.45,-2.1367521367521367,8.121795654296875
603496.SH,2023-10-31,30.53,29.99,-1.7687520471667302,6.393084526062012
603081.SH,2023-10-31,10.8,11.6,7.407407407407398,4.333061695098877
603211.SH,2023-10-31,15.13,16.5,9.05485789821546,4.020426273345947
603118.SH,2023-10-31,9.32,9.36,0.429184549356214,3.5752811431884766
002771.SZ,2023-11-01,25.61,26.43,3.2018742678641168,10.63415813446045
603496.SH,2023-11-01,29.1,31.04,6.666666666666658,9.160880088806152
002038.SZ,2023-11-01,11.56,11.65,0.7785467128027669,6.965445041656494
301085.SZ,2023-11-01,60.7,69.1,13.838550247116954,4.831335544586182
301159.SZ,2023-11-01,42.93,47.02,9.527137200093183,3.5113282203674316
002855.SZ,2023-11-02,30.77,40.0,29.99675008124797,13.688567161560059
603496.SH,2023-11-02,27.11,34.14,25.931390630763563,11.634265899658203
002771.SZ,2023-11-02,25.07,27.41,9.333865177502991,7.611568927764893
002129.SZ,2023-11-02,17.58,19.37,10.182025028441426,5.885462284088135
002038.SZ,2023-11-02,11.3,11.12,-1.592920353982314,5.6818060874938965
603496.SH,2023-11-03,26.91,30.76,14.306949089557792,16.336727142333984
002855.SZ,2023-11-03,30.94,36.0,16.35423400129282,13.979728698730469
002129.SZ,2023-11-03,17.95,18.9,5.292479108635094,6.135842323303223
603165.SH,2023-11-03,13.12,12.99,-0.9908536585365779,5.390727519989014
002682.SZ,2023-11-03,5.96,5.63,-5.536912751677853,5.098240852355957
