symbol,entry_date,exit_date,entry_price,exit_price,quantity,actual_return,predicted_return,hold_days,close_reason,position_closed
002803.SZ,20230412,20230417,19.1,19.12,538.0741104297966,0.1047120418848145,21.439193725585938,4,short_trend_break_2x,full
002436.SZ,20230403,20230419,12.32,14.91,820.5071744180646,21.02272727272727,10.780484199523926,12,take_profit,partial
002888.SZ,20230418,20230421,15.6,14.44,1423.5351630231203,-7.435897435897437,9.786584854125977,4,stop_loss,full
002555.SZ,20230417,20230425,27.05,30.98,410.39739011443623,14.528650646950092,8.33500862121582,7,take_profit,partial
000938.SZ,20230417,20230426,31.02,29.16,715.7478660603159,-5.99613152804642,10.133933067321777,8,stop_loss,full
002777.SZ,20230424,20230426,32.9,29.82,678.9300985848083,-9.36170212765957,14.432197570800781,3,stop_loss,full
600633.SH,20230220,20230427,9.01,13.38,1093.8883614916522,48.501664816870154,11.615327835083008,48,short_trend_break_2x,full
002436.SZ,20230403,20230427,12.32,13.42,820.5071744180646,8.928571428571425,10.780484199523926,18,short_trend_break_2x,full
002555.SZ,20230417,20230427,27.05,27.9,410.39739011443623,3.142329020332709,8.33500862121582,9,short_trend_break_2x,full
002373.SZ,20230428,20230504,13.48,13.81,915.6569596252538,2.4480712166172114,7.970120906829834,2,take_profit,partial
600280.SH,20230504,20230505,4.51,4.32,5473.638942682227,-4.212860310421275,5.6917524337768555,2,stop_loss,full
002777.SZ,20230427,20230508,29.83,37.99,368.2593766426031,27.355011733154555,19.8995418548584,5,take_profit,partial
002373.SZ,20230428,20230509,13.48,13.84,915.6569596252538,2.6706231454005893,7.970120906829834,5,short_trend_break_2x,full
603888.SH,20230427,20230511,29.77,35.58,369.0015856650605,19.516291568693312,14.157028198242188,8,take_profit,partial
600211.SH,20230510,20230511,56.0,55.29,452.5700852062254,-1.2678571428571443,13.094450950622559,2,stop_loss,full
002777.SZ,20230427,20230512,29.83,31.01,368.2593766426031,3.9557492457257903,19.8995418548584,9,short_trend_break_2x,full
603888.SH,20230427,20230515,29.77,28.82,369.0015856650605,-3.1911320120927087,14.157028198242188,10,short_trend_break_2x,full
002122.SZ,20230508,20230515,4.28,4.4,2866.5931678047014,2.803738317757012,9.918927192687988,6,take_profit,partial
002122.SZ,20230508,20230516,4.28,4.18,2866.5931678047014,-2.3364485981308536,9.918927192687988,7,short_trend_break_2x,full
600853.SH,20230512,20230516,5.38,5.09,4790.525098744069,-5.390334572490707,9.591836929321289,3,stop_loss,full
600105.SH,20230510,20230519,5.79,5.97,2188.5945398573936,3.1088082901554355,11.989954948425293,8,take_profit,partial
002555.SZ,20230515,20230519,28.51,29.56,455.57573272356916,3.6829182742897126,13.063672065734863,5,take_profit,partial
600105.SH,20230510,20230522,5.79,5.85,2188.5945398573936,1.0362694300518067,11.989954948425293,9,short_trend_break_2x,full
002555.SZ,20230515,20230523,28.51,28.75,455.57573272356916,0.8418098912662169,13.063672065734863,7,short_trend_break_2x,full
601595.SH,20230517,20230523,30.75,28.42,828.7744981712958,-7.577235772357718,11.276480674743652,5,stop_loss,full
600088.SH,20230522,20230523,14.96,14.13,1715.119886859464,-5.548128342245989,13.348026275634766,2,stop_loss,full
600710.SH,20230524,20230525,7.1,6.98,3532.804446714069,-1.6901408450704116,4.880738258361816,2,stop_loss_next_open,full
002174.SZ,20230524,20230602,17.62,21.13,711.7738811484077,19.92054483541429,8.663033485412598,8,take_profit,partial
000099.SZ,20230529,20230607,7.96,9.15,1570.2339362404991,14.949748743718597,7.983766555786133,8,take_profit,partial
002174.SZ,20230524,20230609,17.62,19.32,711.7738811484077,9.648127128263333,8.663033485412598,13,short_trend_break_2x,full
601518.SH,20230524,20230613,3.46,3.41,7249.396407997077,-1.445086705202307,8.861177444458008,15,short_trend_break_2x,full
002315.SZ,20230612,20230615,39.33,40.81,335.3241167184877,3.763030765319105,14.36133098602295,4,take_profit,partial
